tst unmber,ngy,wg,gr-tt,V-avg,nlz,tstcase
tst-12.1,1,1,0.003333333,0.000289465,5,3
tst-6.1,1,1,0.003333333,0.000296768,3,3
tst-7.1,1,1,0.003333333,0.000296776,3,3
tst-12.7,1,2,0.006666667,0.000305133,5,3
tst-12.2,3,1,0.01,0.00030798,5,3
tst-6.5,1,2,0.006666667,0.000311356,3,3
tst-7.7,1,2,0.006666667,0.000311414,3,3
tst-6.2,3,1,0.01,0.000315076,3,3
tst-7.2,3,1,0.01,0.000315116,3,3
tst-1.1,1,1,0.003333333,0.000317089,1,1
tst-2.1,1,1,0.003333333,0.000325345,2,1
tst-12.3,5,1,0.016666667,0.000325345,5,3
tst-3.1,1,1,0.005,0.000327807,2,2
tst-5.1,1,1,0.004444444,0.000328044,3,2
tst-4.1,1,1,0.003333333,0.000328097,3,1
tst-8.1,1,1,0.003333333,0.000329627,4,1
tst-10.1,1,1,0.003333333,0.000329658,5,1
tst-1.5,1,2,0.006666667,0.000330056,1,1
tst-11.1,1,1,0.004666667,0.000330075,5,2
tst-9.1,1,1,0.005,0.000331113,4,2
tst-12.13,1,3,0.01,0.000332037,5,3
tst-6.3,5,1,0.016666667,0.000332383,3,3
tst-7.3,5,1,0.016666667,0.000332649,3,3
tst-1.2,3,1,0.01,0.000334652,1,1
tst-6.9,1,3,0.01,0.000336567,3,3
tst-7.13,1,3,0.01,0.000336804,3,3
tst-2.5,1,2,0.006666667,0.000337491,2,1
tst-3.5,1,2,0.01,0.000339231,2,2
tst-5.5,1,2,0.008888889,0.000339638,3,2
tst-4.5,1,2,0.006666667,0.000340307,3,1
tst-11.7,1,2,0.009333333,0.000341576,5,2
tst-8.7,1,2,0.006666667,0.000341798,4,1
tst-3.2,3,1,0.011666667,0.000341833,2,2
tst-10.7,1,2,0.006666667,0.000342416,5,1
tst-9.7,1,2,0.01,0.000342573,4,2
tst-5.2,3,1,0.011111111,0.00034362,3,2
tst-2.2,3,1,0.01,0.000343666,2,1
tst-11.2,3,1,0.011333333,0.000344674,5,2
tst-9.2,3,1,0.011666667,0.000345419,4,2
tst-4.2,3,1,0.01,0.000346656,3,1
tst-8.2,3,1,0.01,0.000348135,4,1
tst-10.2,3,1,0.01,0.000348167,5,1
tst-1.9,1,3,0.01,0.000350121,1,1
tst-1.3,5,1,0.016666667,0.00035255,1,1
tst-12.8,3,2,0.02,0.000352854,5,3
tst-3.9,1,3,0.015,0.000353753,2,2
tst-3.3,5,1,0.018333333,0.00035592,2,2
tst-5.9,1,3,0.013333333,0.00035594,3,2
tst-9.13,1,3,0.015,0.000357188,4,2
tst-11.13,1,3,0.014,0.000357268,5,2
tst-7.8,3,2,0.02,0.000358121,3,3
tst-2.9,1,3,0.01,0.000358141,2,1
tst-6.6,3,2,0.02,0.000358256,3,3
tst-5.3,5,1,0.017777778,0.000358868,3,2
tst-12.4,9,1,0.03,0.000359356,5,3
tst-11.3,5,1,0.018,0.000359601,5,2
tst-9.3,5,1,0.018333333,0.000359668,4,2
tst-2.3,5,1,0.016666667,0.000361269,2,1
tst-4.9,1,3,0.01,0.000361366,3,1
tst-8.13,1,3,0.01,0.000362102,4,1
tst-10.13,1,3,0.01,0.000363147,5,1
tst-4.3,5,1,0.016666667,0.00036461,3,1
tst-10.3,5,1,0.016666667,0.000365756,5,1
tst-8.3,5,1,0.016666667,0.000365898,4,1
tst-7.4,9,1,0.03,0.000366336,3,3
tst-6.4,9,1,0.03,0.000366448,3,3
tst-3.6,3,2,0.023333333,0.000367628,2,2
tst-3.13,1,4,0.02,0.000370884,2,2
tst-9.8,3,2,0.023333333,0.000371049,4,2
tst-11.8,3,2,0.022666667,0.000372663,5,2
tst-1.6,3,2,0.02,0.000372745,1,1
tst-5.6,3,2,0.022222222,0.000373038,3,2
tst-12.19,1,4,0.013333333,0.000373877,5,3
tst-9.19,1,4,0.02,0.000374047,4,2
tst-6.13,1,4,0.013333333,0.000374822,3,3
tst-12.5,11,1,0.036666667,0.000375378,5,3
tst-7.19,1,4,0.013333333,0.000376004,3,3
tst-5.13,1,4,0.017777778,0.000376174,3,2
tst-11.19,1,4,0.018666667,0.000376542,5,2
tst-2.6,3,2,0.02,0.00037972,2,1
tst-1.13,1,4,0.013333333,0.000380183,1,1
tst-3.4,9,1,0.031666667,0.000382439,2,2
tst-7.5,11,1,0.036666667,0.000382606,3,3
