ngy,wg,gr-tt,v-avg,case,nlz,tstcase
1,1,0.003333333,0.000317089,1,1,1
1,2,0.006666667,0.000330056,1,1,1
3,1,0.01,0.000334652,1,1,1
1,3,0.01,0.000350121,1,1,1
5,1,0.016666667,0.00035255,1,1,1
3,2,0.02,0.000372745,1,1,1
1,4,0.013333333,0.000380183,1,1,1
9,1,0.03,0.000386801,1,1,1
5,2,0.033333333,0.000413649,1,1,1
3,3,0.03,0.000432392,1,1,1
9,2,0.06,0.000495723,1,1,1
5,3,0.05,0.000514997,1,1,1
3,4,0.04,0.000521463,1,1,1
5,4,0.066666667,0.000661877,1,1,1
9,3,0.09,0.000670066,1,1,1
9,4,0.12,0.000926264,1,1,1
1,1,0.003333333,0.000325345,2,2,1
1,2,0.006666667,0.000337491,2,2,1
3,1,0.01,0.000343666,2,2,1
1,3,0.01,0.000358141,2,2,1
5,1,0.016666667,0.000361269,2,2,1
3,2,0.02,0.00037972,2,2,1
1,4,0.013333333,0.000389924,2,2,1
9,1,0.03,0.000397068,2,2,1
5,2,0.033333333,0.000422561,2,2,1
3,3,0.03,0.00044037,2,2,1
9,2,0.06,0.00050449,2,2,1
5,3,0.05,0.000522412,2,2,1
3,4,0.04,0.000530961,2,2,1
5,4,0.066666667,0.000671954,2,2,1
9,3,0.09,0.00068056,2,2,1
9,4,0.12,0.000937886,2,2,1
1,1,0.005,0.000327807,3,2,2
1,2,0.01,0.000339231,3,2,2
3,1,0.011666667,0.000341833,3,2,2
1,3,0.015,0.000353753,3,2,2
5,1,0.018333333,0.00035592,3,2,2
3,2,0.023333333,0.000367628,3,2,2
1,4,0.02,0.000370884,3,2,2
9,1,0.031666667,0.000382439,3,2,2
5,2,0.036666667,0.00039619,3,2,2
3,3,0.035,0.000400773,3,2,2
3,4,0.046666667,0.000438933,3,2,2
5,3,0.055,0.000447302,3,2,2
9,2,0.063333333,0.000450801,3,2,2
5,4,0.073333333,0.000508282,3,2,2
9,3,0.095,0.000537876,3,2,2
9,4,0.126666667,0.00063799,3,2,2
1,1,0.003333333,0.000328097,4,3,1
