time,tst-15.1,tst-15.2,tst-15.3,tst-15.4,tst-15.5,tst-15.6,tst-15.7,tst-15.8,tst-15.9,tst-15.10,tst-15.11,tst-15.12,tst-15.13,tst-15.14
1,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015,0.00015
2,0.000257909,0.00025873,0.000260127,0.000261244,0.000262287,0.000263777,0.000264371,0.000266239,0.000266474,0.000268401,0.000275693,0.000279081,0.000284001,0.000288346
3,0.000317047,0.000319832,0.000323823,0.000327847,0.000329625,0.000335423,0.000336814,0.000343004,0.000343186,0.000351048,0.000372804,0.000383843,0.000398442,0.000414953
4,0.000348877,0.000352305,0.000361254,0.000367785,0.000371667,0.000382031,0.000384639,0.000396242,0.00039674,0.000411529,0.000454164,0.00047377,0.000503282,0.000532491
5,0.000365588,0.000369459,0.000384205,0.000393094,0.000401292,0.000414941,0.000419461,0.000436445,0.000438088,0.000458669,0.000525771,0.000554667,0.000602072,0.000642196
6,0.000373992,0.000380648,0.000399449,0.000412071,0.00042375,0.000442101,0.000447595,0.000471547,0.000473043,0.000501083,0.000591352,0.000631784,0.000694821,0.000749654
7,0.000381878,0.000391645,0.000414485,0.00043092,0.000445525,0.000469122,0.000475796,0.000506662,0.000507941,0.000543429,0.000657656,0.000708976,0.000786981,0.000856727
8,0.000389372,0.000401247,0.000428847,0.000448655,0.000467114,0.000495097,0.000504078,0.000540745,0.000542928,0.000584347,0.000723657,0.000785011,0.000879768,0.000962433
9,0.000394208,0.000407181,0.000439862,0.00046248,0.000485678,0.000517119,0.000529404,0.000571042,0.000575007,0.000622056,0.000785799,0.000857759,0.0009702,0.001065756
10,0.000397247,0.000410848,0.00044901,0.000473515,0.000501931,0.000536343,0.000552658,0.000598646,0.000604982,0.000657792,0.00084602,0.000928561,0.001058485,0.001167708
11,0.000400322,0.000414552,0.000458363,0.000484215,0.000517968,0.000554939,0.000575908,0.000625621,0.000634924,0.000692754,0.000906866,0.000998829,0.001146609,0.001269027
12,0.000403644,0.000418526,0.000467543,0.000494956,0.000533809,0.00057332,0.000598801,0.000652058,0.000664628,0.000727022,0.000967184,0.001068284,0.00123438,0.001369261
13,0.000406077,0.000421399,0.000475238,0.000504204,0.000548087,0.000590151,0.00062,0.000676564,0.000692661,0.000759598,0.001025531,0.00113612,0.001320618,0.001468029
14,0.000407599,0.000423242,0.000481784,0.000511881,0.000560963,0.00060535,0.000639823,0.000699276,0.000719234,0.000790483,0.001082878,0.001202842,0.001405651,0.001565877
15,0.000409253,0.000425262,0.000488265,0.000519299,0.000573523,0.000620003,0.000659257,0.000721462,0.000745309,0.000820462,0.001140293,0.001269236,0.001490308,0.001663106
16,0.000411056,0.000427389,0.000494478,0.000526506,0.000585699,0.000634185,0.000678083,0.00074313,0.000770781,0.000849657,0.001197205,0.001335004,0.001574399,0.001759427
17,0.000412211,0.00042877,0.000499642,0.000532607,0.000596693,0.000647108,0.000695606,0.000763436,0.000794928,0.000877519,0.001252895,0.001399524,0.001657384,0.001854681
18,0.000412874,0.000429643,0.00050407,0.000537798,0.000606726,0.00065892,0.000712138,0.000782581,0.000818014,0.000904247,0.00130779,0.001463081,0.001739534,0.001949207
19,0.000413762,0.00043071,0.000508466,0.000542852,0.000616482,0.00067028,0.000728297,0.000801292,0.000840654,0.000930376,0.001362346,0.001526112,0.001821319,0.002043185
20,0.000414737,0.000431791,0.000512635,0.000547635,0.000625831,0.000681124,0.000743887,0.000819427,0.000862737,0.000955869,0.001416209,0.001588312,0.001902633,0.002136502
21,0.000415253,0.000432385,0.000516077,0.000551634,0.000634286,0.000691017,0.00075848,0.000836463,0.000883813,0.000980347,0.001468992,0.001649227,0.001983195,0.002229099
22,0.000415499,0.000432728,0.000519042,0.000555087,0.000642052,0.000700139,0.000772312,0.000852587,0.000904082,0.001003957,0.001520924,0.001709075,0.002063208,0.002321172
23,0.000415965,0.000433262,0.000521998,0.000558472,0.000649581,0.000708902,0.000785775,0.000868255,0.00092393,0.001027019,0.001572256,0.001768211,0.002142936,0.002412807
24,0.000416502,0.000433811,0.000524788,0.000561642,0.000656757,0.000717221,0.000798722,0.000883345,0.000943242,0.001049446,0.001622829,0.001826485,0.00222226,0.002503911
25,0.000416717,0.000434039,0.000527071,0.00056427,0.000663253,0.000724823,0.000810871,0.000897533,0.000961708,0.001070963,0.001672478,0.001883641,0.002300958,0.002594378
26,0.000416769,0.000434137,0.000529032,0.000566558,0.000669233,0.000731861,0.000822396,0.000910981,0.000979478,0.001091691,0.001721366,0.001939879,0.00237912,0.002684249
27,0.00041701,0.000434405,0.000531003,0.000568825,0.000675017,0.000738612,0.000833577,0.000924009,0.000996818,0.001111867,0.00176966,0.001995494,0.002456862,0.002773511
28,0.000417314,0.000434695,0.000532866,0.00057094,0.000680515,0.000745003,0.000844316,0.00093653,0.001013649,0.001131429,0.001817308,0.002050421,0.00253406,0.002862071
