2022-09-07 16:41:23,618 INFO    MainThread:50696 [wandb_setup.py:_flush():76] Configure stats pid to 50696
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_setup.py:_flush():76] Loading settings from /Users/venus/.config/wandb/settings
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_setup.py:_flush():76] Loading settings from /Users/venus/Erfan/paper_based_pump/wandb/settings
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'_require_service': 'True'}
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'data.py', 'program': '/Users/venus/Erfan/paper_based_pump/data.py'}
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_init.py:_log_setup():461] Logging user logs to /Users/venus/Erfan/paper_based_pump/wandb/run-20220907_164123-nlwcwnva/logs/debug.log
2022-09-07 16:41:23,619 INFO    MainThread:50696 [wandb_init.py:_log_setup():462] Logging internal logs to /Users/venus/Erfan/paper_based_pump/wandb/run-20220907_164123-nlwcwnva/logs/debug-internal.log
2022-09-07 16:41:23,620 INFO    MainThread:50696 [wandb_init.py:init():495] calling init triggers
2022-09-07 16:41:23,620 INFO    MainThread:50696 [wandb_init.py:init():498] wandb.init called with sweep_config: {}
config: {}
2022-09-07 16:41:23,620 INFO    MainThread:50696 [wandb_init.py:init():548] starting backend
2022-09-07 16:41:23,620 INFO    MainThread:50696 [wandb_init.py:init():552] setting up manager
2022-09-07 16:41:23,628 INFO    MainThread:50696 [backend.py:_multiprocessing_setup():97] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2022-09-07 16:41:23,637 INFO    MainThread:50696 [wandb_init.py:init():558] backend started and connected
2022-09-07 16:41:23,644 INFO    MainThread:50696 [wandb_init.py:init():636] updated telemetry
2022-09-07 16:41:23,667 INFO    MainThread:50696 [wandb_init.py:init():667] communicating run to backend with 30 second timeout
2022-09-07 16:41:25,305 INFO    MainThread:50696 [wandb_run.py:_on_init():1982] communicating current version
2022-09-07 16:41:26,520 INFO    MainThread:50696 [wandb_run.py:_on_init():1986] got version response 
2022-09-07 16:41:26,520 INFO    MainThread:50696 [wandb_init.py:init():700] starting run threads in backend
2022-09-07 16:41:26,592 INFO    MainThread:50696 [wandb_run.py:_console_start():1962] atexit reg
2022-09-07 16:41:26,592 INFO    MainThread:50696 [wandb_run.py:_redirect():1820] redirect: SettingsConsole.WRAP_RAW
2022-09-07 16:41:26,592 INFO    MainThread:50696 [wandb_run.py:_redirect():1885] Wrapping output streams.
2022-09-07 16:41:26,592 INFO    MainThread:50696 [wandb_run.py:_redirect():1907] Redirects installed.
2022-09-07 16:41:26,593 INFO    MainThread:50696 [wandb_init.py:init():732] run started, returning control to user process
2022-09-07 16:41:37,725 WARNING MsgRouterThr:50696 [router.py:message_loop():76] message_loop has been closed
